use_sim_time,graph,init_bots,priority_nodes,init_locations,done,sim_length,random_string,algo_name,parameters,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
True,cair,4,1563324324 1154147728 1563324349 1563324336,1154147728 1563324336 1563324324 1563324349,False,20000,ppa_greedy_cair_16_0,ppa_greedy,0,96.7173030237377,46.62229388530574,111.0301627775754,807,292,807,2.8928160878523697
True,cair,1,1563324327 cluster_1563324333_1563324337 cluster_1563324004_1563324334 1563324343,cluster_1563324004_1563324334,False,20000,ppa_greedy_cair_85_0,ppa_greedy,0,239.16158509479675,111.60073264652932,275.6075429371588,1681,640,1681,3.050860589788108
True,iitb,1,5882320075 668620103 3215340463 3215340464,3215340463,False,20000,ppa_greedy_iitb_61_0,ppa_greedy,0,553.6080646372603,397.25128924047465,584.8794197166176,3736,1716,3736,1.709768018887287
True,cair,1,1563324336 1154147727 1154147728 cluster_1563324002_1563324346 1563324011,1563324011,False,20000,ppa_greedy_cair_17_0,ppa_greedy,0,250.2837595296837,191.8374474894979,272.7631103143706,1511,1055,1511,1.543293515573399
True,grid_5_5,4,4 13 0 11 16,11 0 4 16,False,20000,ppa_greedy_grid_5_5_8_0,ppa_greedy,0,121.52782643471303,96.68915216956609,127.7374950009998,889,613,889,1.613792037141551
True,grid_5_5,4,21 22 9 7 24,22 24 7 21,False,20000,ppa_greedy_grid_5_5_80_0,ppa_greedy,0,511.851176558828,69.11865593279664,622.5343067153358,19998,496,19998,10.49571316807604
True,iitb,4,667357387 667357401 668672700 667357412 667357419,668672700 667357412 667357401 667357387,False,20000,ppa_greedy_iitb_104_0,ppa_greedy,0,192.5430916666667,122.12079,211.0752763157895,1587,786,1587,2.157390759334316
True,cair,2,1563324324 1154147728 1563324349 1563324336,1563324324 1563324336,False,20000,ppa_greedy_cair_14_0,ppa_greedy,0,150.215575,75.8054625,171.47560714285714,1080,420,1080,2.626032814006356
True,grid_5_5,4,20 10 6 1 24 15,24 20 10 6,False,20000,ppa_greedy_grid_5_5_48_0,ppa_greedy,0,115.02890744537228,69.08322082770805,129.53807164042414,765,431,765,2.229398170778964
True,grid_5_5,4,10 15 24 18 2 23,15 10 2 24,False,20000,ppa_greedy_grid_5_5_12_0,ppa_greedy,0,105.41927503624818,74.29044381114277,115.24943226522883,795,426,795,1.763518618463262
True,cair,4,1563324349 1563324343 1154147727 1563324348 1154147726 cluster_1563324004_1563324334,1154147727 1563324349 cluster_1563324004_1563324334 1154147726,False,20000,ppa_greedy_cair_24_0,ppa_greedy,0,94.47892672411398,34.29923162824807,124.56877427204692,786,249,786,4.2945923186513095
True,grid_5_5,3,4 13 0 11 16,11 13 4,False,20000,ppa_greedy_grid_5_5_7_0,ppa_greedy,0,155.0933273345331,121.41968606278743,163.5117376524695,1027,600,1027,1.568260507192239
True,iitb,4,667357401 5366445083 667357361 1990860600 667357415 -22,667357415 1990860600 667357401 667357361,False,20000,ppa_greedy_iitb_72_0,ppa_greedy,0,183.9606844762095,126.47008696521392,203.1242169798747,1840,632,1840,1.802238294253448
True,iitb,4,4369058864 -22 668685374 668620103 -222 667357401,-222 4369058864 667357401 -22,False,20000,ppa_greedy_iitb_36_0,ppa_greedy,0,203.3604278119428,125.36379014382614,229.35930703464825,2036,730,2036,2.136610802209774
True,iitb,4,667357419 -266 667357412 4369058864 -222,-266 667357412 -222 4369058864,False,20000,ppa_greedy_iitb_32_0,ppa_greedy,0,225.25980625,110.41077,255.4832368421053,2105,801,2105,2.6964539739123907
True,cair,1,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,1563324324,False,20000,ppa_greedy_cair_49_0,ppa_greedy,0,220.6355067753388,107.43558427921396,252.97834177423152,1381,445,1381,2.789752915050043
True,cair,4,1563324353 1563324348 1563324324 cluster_1563324002_1563324346,1563324324 1563324353 cluster_1563324002_1563324346 1563324348,False,20000,ppa_greedy_cair_52_0,ppa_greedy,0,82.93472812647606,34.32634408602151,96.82283785232022,706,204,706,3.426757384142889
True,iitb,4,667357387 2055461156 -282 667357412 5366445083 4369058864,4369058864 667357387 2055461156 5366445083,False,20000,ppa_greedy_iitb_108_0,ppa_greedy,0,169.15434527796387,129.83042159708268,182.26231983825755,1819,768,1819,1.6060202919632367
True,grid_5_5,4,13 17 21 0,17 0 21 13,False,20000,ppa_greedy_grid_5_5_40_0,ppa_greedy,0,103.26479771965796,72.58154973245986,109.10922590769567,613,477,613,1.7382068284978025
True,grid_5_5,2,4 13 0 11 16,16 13,False,20000,ppa_greedy_grid_5_5_6_3,ppa_greedy,3,178.3696754513177,175.84514677201582,179.0008076211432,910,910,893,1.1894999836518207
True,iitb,1,4369058864 -22 668685374 668620103 -222 667357401,4369058864,False,20000,ppa_greedy_iitb_33_3,ppa_greedy,3,615.3893892830968,414.5411836231594,682.3387911697425,5531,1967,5531,1.8078024634138872
True,cair,1,1563324336 1154147727 1154147728 cluster_1563324002_1563324346 1563324011,1563324011,False,20000,ppa_greedy_cair_17_3,ppa_greedy,3,209.4648689950265,232.3401950487622,200.66666666666663,1282,1255,1282,1.0226392729721772
True,cair,4,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,414035791 1154147727 1563324357 cluster_1563324010_1563324356,False,20000,ppa_greedy_cair_92_3,ppa_greedy,3,62.92568982661978,50.46793660316984,67.71713337410053,472,355,472,1.5376835025504496
True,iitb,3,3215340463 667357401 668685374 667357387,667357387 667357401 3215340463,False,20000,ppa_greedy_iitb_99_3,ppa_greedy,3,235.8575071246437,163.34320783960803,250.3603669816509,2178,1151,2178,1.8430149161976928
True,iitb,2,3215340463 667357401 668685374 667357387,667357387 667357401,False,20000,ppa_greedy_iitb_98_3,ppa_greedy,3,320.0673649324662,220.2523136568284,340.03037518759373,2482,1164,2482,1.7722453999875676
