,Algorithm,done,Graph,No. of Agents,Initial Locations,Parameters,Priority Nodes,Random String,sim_length,use_sim_time,Average Idleness,Priority Average Idleness,N. P. Average Idleness,Max Idleness,Priority Max Idleness,N. P.  Max Idleness,Average Ration,Depth,Sampling size
80,ppa_exhaustive,False,iitb,4,-222 4369058864 667357401 -22,0,4369058864 -22 668685374 668620103 -222 667357401,ppa_exhaustive_iitb_36_0,20000,True,276.180003417008,170.853877054372,311.288712204554,1924,747,1924,2.06976529103078,0,
81,ppa_exhaustive,False,cair,1,1563324348,0,cluster_1563324010_1563324356 1154147727 1563324357 414035791 1563324348,ppa_exhaustive_cair_89_0,20000,True,249.030966393793,128.513739808933,295.383745849509,1670,488,1670,2.42734579010134,0,
82,ppa_exhaustive,False,iitb,2,3215340464 3215340463,0,5882320075 668620103 3215340463 3215340464,ppa_exhaustive_iitb_62_0,20000,True,573.440758333333,332.278275,621.673255,5698,1173,5698,2.16239032887475,0,
83,ppa_exhaustive,False,grid_5_5,1,13,0,13 17 21 0,ppa_exhaustive_grid_5_5_37_0,20000,True,355.476766161692,149.875218739063,394.638965670764,2382,369,2382,2.8200943627905,0,
84,ppa_exhaustive,False,grid_5_5,1,7,0,21 22 9 7 24,ppa_exhaustive_grid_5_5_77_0,20000,True,361.46499749925,172.777313193958,408.636918575573,2060,686,2060,2.53022657304375,0,
85,ppa_exhaustive,False,iitb,1,4369058864,0,667357419 -266 667357412 4369058864 -222,ppa_exhaustive_iitb_29_0,20000,True,844.816091163674,276.921678251738,994.261989298395,6438,1212,6438,3.80355405699438,0,
86,ppa_exhaustive,False,grid_5_5,3,11 13 4,0,4 13 0 11 16,ppa_exhaustive_grid_5_5_7_0,20000,True,257.548362581871,131.463586820659,289.069556522174,2881,758,2881,2.49300685517254,0,
87,ppa_exhaustive,False,grid_5_5,4,17 0 21 13,0,13 17 21 0,ppa_exhaustive_grid_5_5_40_0,20000,True,156.847587620619,74.2252262386881,172.585180264796,1262,337,1262,2.72957684905016,0,
88,ppa_exhaustive,False,grid_5_5,1,19,0,17 19 21 13 14,ppa_exhaustive_grid_5_5_41_0,20000,True,319.200964144622,214.39201880282,345.403200480072,2886,735,2886,1.71458236718749,0,
89,ppa_exhaustive,False,cair,3,1563324343 cluster_1563324004_1563324334 1563324348,0,1563324349 1563324343 1154147727 1563324348 1154147726 cluster_1563324004_1563324334,ppa_exhaustive_cair_23_0,20000,True,143.865666666667,51.9049333333333,189.846033333333,1452,332,1452,4.37467335723876,0,
